name,variable name,epoch timestamp,vcc,vbatt,charge state
Greenville Camera v5 sn191 (took pic),s.bs,1710085839,3.316,3.466,0
Greenville Camera v5 sn191 (took pic),s.bs,1710085297,3.335,3.496,0
Greenville Camera v5 sn191 (took pic),s.bs,1710085130,3.269,3.511,0
Greenville Camera v5 sn191 (took pic),s.bs,1710084902,3.316,3.559,0
Greenville Camera v5 sn191 (took pic),s.bs,1710084404,3.269,3.42,1
Greenville Camera v5 sn191 (took pic),s.bs,1710084027,3.269,3.405,1
Greenville Camera v5 sn191 (took pic),s.bs,1710083841,3.292,3.403,1
Greenville Camera v5 sn191 (took pic),s.bs,1710083689,3.316,3.4,1
Greenville Camera v5 sn191 (took pic),s.bs,1710083211,3.292,3.393,1
Greenville Camera v5 sn191 (took pic),s.bs,1710082877,3.316,3.39,1
Greenville Camera v5 sn191 (took pic),s.bs,1710082822,3.316,3.386,1
Greenville Camera v5 sn191 (took pic),s.bs,1710082384,3.269,3.381,1
Greenville Camera v5 sn191 (took pic),s.bs,1710082147,3.316,3.375,1
Greenville Camera v5 sn191 (took pic),s.bs,1710081888,3.292,3.37,1
Greenville Camera v5 sn191 (took pic),s.bs,1710081377,3.335,3.357,1
Greenville Camera v5 sn191 (took pic),s.bs,1710081212,3.335,3.353,1
Greenville Camera v5 sn191 (took pic),s.bs,1710080782,3.269,3.349,1
Greenville Camera v5 sn191 (took pic),s.bs,1710080551,3.316,3.34,1
Greenville Camera v5 sn191 (took pic),s.bs,1710080391,3.269,3.343,1
Greenville Camera v5 sn191 (took pic),s.bs,1710080029,3.292,3.34,1
Greenville Camera v5 sn191 (took pic),s.bs,1710079228,3.269,3.339,1
Greenville Camera v5 sn191 (took pic),s.bs,1710079016,3.269,3.336,1
Greenville Camera v5 sn191 (took pic),s.bs,1710078669,3.316,3.333,1
Greenville Camera v5 sn191 (took pic),s.bs,1710078590,3.335,3.319,1
Greenville Camera v5 sn191 (took pic),s.bs,1710078082,3.269,3.33,1
Greenville Camera v5 sn191 (took pic),s.bs,1710077864,3.316,3.33,1
Greenville Camera v5 sn191 (took pic),s.bs,1710077609,3.292,3.317,1
Greenville Camera v5 sn191 (took pic),s.bs,1710077413,3.292,3.33,1
Greenville Camera v5 sn191 (took pic),s.bs,1710076849,3.292,3.329,1
Greenville Camera v5 sn191 (took pic),s.bs,1710076541,3.292,3.327,1
Greenville Camera v5 sn191 (took pic),s.bs,1710076456,3.316,3.326,1
Greenville Camera v5 sn191 (took pic),s.bs,1710076069,3.292,3.325,1
Greenville Camera v5 sn191 (took pic),s.bs,1710075817,3.292,3.318,1
Greenville Camera v5 sn191 (took pic),s.bs,1710075619,3.292,3.324,1
Greenville Camera v5 sn191 (took pic),s.bs,1710075175,3.269,3.323,1
Greenville Camera v5 sn191 (took pic),s.bs,1710074927,3.316,3.311,1
Greenville Camera v5 sn191 (took pic),s.bs,1710074466,3.292,3.322,1
Greenville Camera v5 sn191 (took pic),s.bs,1710074155,3.316,3.316,1
Greenville Camera v5 sn191 (took pic),s.bs,1710073856,3.316,3.317,1
Greenville Camera v5 sn191 (took pic),s.bs,1710073592,3.25,3.319,1
Greenville Camera v5 sn191 (took pic),s.bs,1710073294,3.316,3.312,1
Greenville Camera v5 sn191 (took pic),s.bs,1710073205,3.25,3.312,1
Greenville Camera v5 sn191 (took pic),s.bs,1710072639,3.25,3.312,1
Greenville Camera v5 sn191 (took pic),s.bs,1710072420,3.269,3.316,1
Greenville Camera v5 sn191 (took pic),s.bs,1710072194,3.316,3.305,1
Greenville Camera v5 sn191 (took pic),s.bs,1710071742,3.316,3.315,1
Greenville Camera v5 sn191 (took pic),s.bs,1710071589,3.292,3.315,1
Greenville Camera v5 sn191 (took pic),s.bs,1710071207,3.316,3.315,1
